Cod_ID,NOME_UDH,CODMUN6,NOME_MUN,ANO,IDHM,CleanEnergy,Mobility,AirQuality,Economy,Employment,Housing,Education,Healthcare
1355030815042,Conjunto Habitacional Jova Rural : Cemitério Parque Dos Pinheiros,355030,São Paulo (SP),2010,0.692,9.63488843813386,7.304147465437784,9.250322342972924,1.62760938254933,5.779576291359202,9.19275745001886,5.32428355957768,3.4848484848484853
1355030815043,Jardim Felicidade,355030,São Paulo (SP),2010,0.717,10.0,9.016897081413209,9.654632529010868,2.1320563420686645,5.09878600333254,9.646359864202187,5.595776772247362,4.431818181818182
1355030815044,Parque Palmas do Tremembé : Escola Municipal de Ensino Fundamental Professora Esmeralda Salles,355030,São Paulo (SP),2010,0.795,10.0,9.162826420890934,9.790937557561247,3.2920000163611074,6.874553677695787,9.79630328178046,6.757164404223227,7.575757575757574
1355030815045,Tremembe : Horto Florestal,355030,São Paulo (SP),2010,0.734,9.91886409736307,8.61751152073733,9.907902007736231,2.2930584318943734,5.9247798143299235,9.816107129385138,5.837104072398191,5.454545454545455
1355030815046,Tremembre / Cantareira : Rua Francisco Portugal / Rua Eugenio da Silva,355030,São Paulo (SP),2010,0.795,10.0,9.162826420890934,9.790937557561247,3.2920000163611074,6.874553677695787,9.801018483591097,6.757164404223227,7.575757575757574
1355030815047,Jardim Das Pedras : Creche Jardim Paulistano,355030,São Paulo (SP),2010,0.639,10.0,5.023041474654373,9.194142567692024,1.428236395314797,4.934539395382053,9.29460580912863,3.7707390648567123,2.310606060606063
1355030815048,Jardim Das Pedras : Escola Municipal de Ensino Fundamental Jardim Fontalis / Escola Municipal de Ensino Fundamental Hipólito José da Costa / Escola Municipal de Educação Infantil Margareth de Fátima Marques de Azevedo,355030,São Paulo (SP),2010,0.692,9.63488843813386,7.304147465437784,9.250322342972924,1.62760938254933,5.779576291359202,9.23896642776311,5.32428355957768,3.4848484848484853
1355030815049,Parque Palmas do Tremembé : Instituto de Psiquiatria São Genaro,355030,São Paulo (SP),2010,0.889,10.0,10.0,9.898692208509855,5.180020294855362,7.203046893596763,9.896265560165975,8.687782805429864,8.52272727272727
1355030815050,Jardim Guapira : E.E. Ângelo Bortolo / E.M.E.I. Professora Eudóxia de Barros,355030,São Paulo (SP),2010,0.811,10.0,9.308755760368658,9.963160803094496,3.6746564165469273,6.20090454653654,9.961335345152772,6.907993966817497,8.03030303030303
1355030815051,Parque Edu Chaves : Condominio Roland Garros / Avenida Edu Chaves,355030,São Paulo (SP),2010,0.889,10.0,10.0,9.898692208509855,5.180020294855362,7.203046893596763,9.896265560165975,8.687782805429864,8.52272727272727
1355030815052,Parque Palmas do Tremembé : Jardim Yara,355030,São Paulo (SP),2010,0.795,10.0,9.162826420890934,9.790937557561247,3.2920000163611074,6.874553677695787,9.801018483591097,6.757164404223227,7.575757575757574
1355030816001,Pontifícia Universidade Católica ( PUC ) / Cardoso de Almeida,355030,São Paulo (SP),2010,0.946,10.0,10.0,9.927242586111621,7.755033588390362,7.817186384194239,9.923613730667672,9.185520361990951,9.58333333333333
1355030816002,Água Branca : Rua Henrique Ongari / Barra Funda,355030,São Paulo (SP),2010,0.945,10.0,10.0,10.0,6.6665925292381445,8.707450606998336,10.0,9.547511312217194,9.128787878787879
1355030816003,Perdizes,355030,São Paulo (SP),2010,0.944,10.0,10.0,9.932768465647447,7.507104556351646,8.614615567721973,9.925499811391926,9.155354449472098,9.469696969696969
1355030816004,Sumaré,355030,São Paulo (SP),2010,0.943,10.0,10.0,9.965923742862405,7.406688531150535,7.355391573434896,9.965107506601282,9.14027149321267,9.431818181818176
1355030816005,Vila Anglo Brasileira / Pompéia,355030,São Paulo (SP),2010,0.935,10.0,10.0,9.981580401547248,6.616572346200704,8.507498214710784,9.976423990946813,9.170437405731523,9.128787878787879
1355030816006,Lapa de Baixo / Lapa,355030,São Paulo (SP),2010,0.921,10.0,10.0,10.0,6.360092318517713,8.036181861461557,9.996227838551487,8.838612368024133,9.015151515151517
1355030816007,Vila Ipojuca,355030,São Paulo (SP),2010,0.904,10.0,10.0,9.923558666421075,6.049819607265996,7.091168769340634,9.897208600528103,8.401206636500756,8.863636363636363
1355030816008,Ceasa / Vila Leopoldina / Vila Hamburguesa,355030,São Paulo (SP),2010,0.921,10.0,10.0,9.833302634002578,7.239416611938907,9.240656986431802,9.829309694454922,8.250377073906487,9.318181818181815
1355030816009,Parque Continental,355030,São Paulo (SP),2010,0.875,10.0,9.900153609831033,9.746730521274635,5.445415497639416,7.569626279457273,9.726518294983023,7.8129713423831095,8.636363636363638
1355030816010,Vila Jaguara,355030,São Paulo (SP),2010,0.831,10.0,9.831029185867896,9.710812304291768,4.007205354098503,6.9174006189002615,9.702942285929838,7.405731523378583,8.219696969696969
1355030816011,Santa Marina : Rua Capitão Francisco Teixeira Nogueira / Rua José Nelo Lorezon / Companhia de Desenvolvimento Habitacional e Urbano,355030,São Paulo (SP),2010,0.653,10.0,7.48079877112135,9.55792963713391,1.4840583422353681,4.891692454177578,5.915692191625802,4.162895927601812,2.613636363636365
1355030816012,Santa Marina / Barra Funda,355030,São Paulo (SP),2010,0.921,10.0,10.0,10.0,6.360092318517713,8.036181861461557,9.980196152395324,8.838612368024133,9.015151515151517
1355030816013,Vila Anglo Brasileira : Escola Estadual Professor Mauro de Oliveira,355030,São Paulo (SP),2010,0.831,10.0,9.831029185867896,9.710812304291768,4.007205354098503,6.9174006189002615,9.69445492267069,7.405731523378583,8.219696969696969
1355030816014,Lapa de Baixo / Vila Anastácio,355030,São Paulo (SP),2010,0.875,10.0,9.900153609831033,9.746730521274635,5.445415497639416,7.569626279457273,9.636929460580912,7.8129713423831095,8.636363636363638
1355030816015,Alto da Lapa,355030,São Paulo (SP),2010,0.944,10.0,10.0,9.932768465647447,7.507104556351646,8.614615567721973,9.925499811391926,9.155354449472098,9.469696969696969
1355030816016,Jaguaré : Wandamar W.M.R. Transportes Ltda.,355030,São Paulo (SP),2010,0.683,10.0,7.596006144393243,9.365444833302636,1.7354616485455157,7.010235658176623,9.376650320633722,4.766214177978884,3.750000000000001
1355030816017,Beira da Linha,355030,São Paulo (SP),2010,0.683,10.0,7.596006144393243,9.365444833302636,1.7354616485455157,7.010235658176623,9.300264051301394,4.766214177978884,3.750000000000001
1355030816018,Humaitá II,355030,São Paulo (SP),2010,0.653,10.0,7.48079877112135,9.55792963713391,1.4840583422353681,4.891692454177578,9.640701622029423,4.162895927601812,2.613636363636365
1355030816019,Um,355030,São Paulo (SP),2010,0.683,10.0,7.596006144393243,9.365444833302636,1.7354616485455157,7.010235658176623,9.376650320633722,4.766214177978884,3.750000000000001
1355030816020,Ceasa,355030,São Paulo (SP),2010,0.653,10.0,7.48079877112135,9.55792963713391,1.4840583422353681,4.891692454177578,9.580347038853263,4.162895927601812,2.613636363636365
1355030816021,Emissário,355030,São Paulo (SP),2010,0.831,10.0,9.831029185867896,9.710812304291768,4.007205354098503,6.9174006189002615,9.703885326291967,7.405731523378583,8.219696969696969
